date,humi
2013-10-02 00:00:25+02:00,62.522762
2013-10-02 00:01:38+02:00,62.554012
2013-10-02 00:02:50+02:00,62.109497
2013-10-02 00:04:03+02:00,62.197285
2013-10-02 00:05:16+02:00,62.611801
2013-10-02 00:06:28+02:00,62.489944
2013-10-02 00:07:41+02:00,62.078144
2013-10-02 00:08:53+02:00,62.1064
2013-10-02 00:10:06+02:00,62.433659
2013-10-02 00:11:18+02:00,62.675823
2013-10-02 00:12:31+02:00,62.289669
2013-10-02 00:13:44+02:00,62.316311
2013-10-02 00:14:56+02:00,62.230152
2013-10-02 00:16:09+02:00,62.349159
2013-10-02 00:17:21+02:00,62.607113
2013-10-02 00:18:34+02:00,62.436775
2013-10-02 00:19:46+02:00,62.076595
2013-10-02 00:20:59+02:00,62.374229
2013-10-02 00:22:11+02:00,62.641464
2013-10-02 00:23:24+02:00,62.347603
2013-10-02 00:24:36+02:00,62.2286
2013-10-02 00:25:49+02:00,62.405506
2013-10-02 00:27:02+02:00,62.94558
2013-10-02 00:28:14+02:00,62.560261
2013-10-02 00:29:27+02:00,62.292778
2013-10-02 00:30:39+02:00,62.527447
2013-10-02 00:31:52+02:00,62.944008
2013-10-02 00:33:04+02:00,62.708599
2013-10-02 00:34:17+02:00,62.353828
2013-10-02 00:35:29+02:00,62.529007
2013-10-02 00:36:42+02:00,62.964161
2013-10-02 00:37:55+02:00,62.764763
2013-10-02 00:39:07+02:00,62.320976
2013-10-02 00:40:20+02:00,62.469612
2013-10-02 00:41:32+02:00,62.819313
2013-10-02 00:42:45+02:00,63.029617
2013-10-02 00:43:57+02:00,62.586811
2013-10-02 00:45:10+02:00,62.557137
2013-10-02 00:46:23+02:00,62.731987
2013-10-02 00:47:35+02:00,62.883244
2013-10-02 00:48:48+02:00,62.533691
2013-10-02 00:50:00+02:00,62.320976
2013-10-02 00:51:13+02:00,62.558701
2013-10-02 00:52:25+02:00,63.060749
2013-10-02 00:53:38+02:00,63.059174
2013-10-02 00:54:50+02:00,62.622746
2013-10-02 00:56:03+02:00,62.530567
2013-10-02 00:57:15+02:00,62.820881
2013-10-02 00:58:28+02:00,62.97517
2013-10-02 00:59:41+02:00,62.500866
2013-10-02 01:00:53+02:00,62.378899
2013-10-02 01:02:06+02:00,62.707035
2013-10-02 01:03:18+02:00,62.91127
2013-10-02 01:04:31+02:00,62.62431
2013-10-02 01:05:43+02:00,62.263027
2013-10-02 01:06:56+02:00,62.494625
2013-10-02 01:08:09+02:00,62.878532
2013-10-02 01:09:21+02:00,62.876965
2013-10-02 01:10:34+02:00,62.529007
2013-10-02 01:11:46+02:00,62.494625
2013-10-02 01:12:59+02:00,62.795956
2013-10-02 01:14:11+02:00,62.678955
2013-10-02 01:15:24+02:00,62.705471
2013-10-02 01:16:36+02:00,62.621181
